agency,series,code,description,screenTitle,type,charLimit,tsj,constraints
Federal,s1,c201,Driver's License/State ID #,Client Information,STRING,40,N,maxLength=40
Federal,s1,c202,Driver's License State,Client Information,STRING,2,N,maxLength=2
Federal,s1,c203,Expiration Date,Client Information,DATE,,N,
Federal,s1,c204,Issue Date,Client Information,DATE,,N,
Federal,s1,c205,IRS Theft Protection PIN,Client Information,STRING,6,N,maxLength=6
Federal,s1,c206,Driver's License/State ID #,Client Information,STRING,40,N,maxLength=40
Federal,s1,c207,Driver's License State,Client Information,STRING,2,N,maxLength=2
Federal,s1,c208,Expiration Date,Client Information,DATE,,N,
Federal,s1,c209,Issue Date,Client Information,DATE,,N,
Federal,s1,c210,IRS Theft Protection PIN,Client Information,STRING,6,N,maxLength=6
Federal,s1,c211,Promise Date,Client Information,DATE,,N,
Federal,s1,c213,Primary Contact,Client Information,STRING,40,N,maxLength=40
Federal,s1,c214,ID Type,Client Information,STRING,40,N,maxLength=40
Federal,s1,c215,ID Type,Client Information,STRING,40,N,maxLength=40
Federal,s1,c217,Address Verified?,Client Information,NUMBER,,N,formattedNumber; min=0; max=1
Federal,s1,c218,Taxpayer Identity Verification,Client Information,STRING,40,N,maxLength=40
Federal,s1,c221,Taxpayer Document ID/State Issued PIN,Client Information,STRING,10,N,maxLength=10
Federal,s1,c222,Spouse Document ID/State Issued PIN,Client Information,STRING,10,N,maxLength=10
Federal,s1,c223,Additional Information,Client Information,STRING,40,N,maxLength=40
Federal,s1,c224,Additional Information,Client Information,STRING,40,N,maxLength=40
Federal,s1,c225,DL/State ID #(s) Verified?,Client Information,NUMBER,,N,formattedNumber; min=0; max=1
Federal,s1,c226,SSN(s) Verified?,Client Information,NUMBER,,N,formattedNumber; min=0; max=1
Federal,s1,c228,Dependency Status,Client Information,STRING,60,N,maxLength=60
Federal,s1,c229,Taxpayer Identity Protection PIN,Client Information,STRING,7,N,maxLength=7
Federal,s1,c230,Spouse Identity Protection PIN,Client Information,STRING,7,N,maxLength=7
Federal,s1,c231,Had IRS Theft Protection PIN in Prior Year,Client Information,NUMBER,,N,formattedNumber; min=0; max=1
Federal,s1,c232,Had IRS Theft Protection PIN in Prior Year,Client Information,NUMBER,,N,formattedNumber; min=0; max=1
Federal,s1,c233,Taxpayer SSN is not valid for employment,Client Information,NUMBER,,N,formattedNumber; min=0; max=1
Federal,s1,c234,Spouse SSN is not valid for employment,Client Information,NUMBER,,N,formattedNumber; min=0; max=1
Federal,s1,c844,Spouse Tax ID Number,Client Information,STRING,18,N,maxLength=18
Federal,s1,c845,Taxpayer Tax ID Number,Client Information,STRING,18,N,maxLength=18
Federal,s1,c846,Maintained living quarters in Yonkers,Client Information,NUMBER,,N,formattedNumber; min=0; max=1
Federal,s1,c1000100001,Preparer,Client Information,STRING,50,N,maxLength=50
Federal,s1,c1000100002,First Name & Initial,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1000100003,First Name & Initial,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1000100004,Last Name,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1000100005,Last Name,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1000100006,Taxpayer Information,Client Information,SSN,9,N,
Federal,s1,c1000100007,Spouse Information,Client Information,SSN,9,N,
Federal,s1,c1000100008,Occupation,Client Information,STRING,25,N,maxLength=25
Federal,s1,c1000100009,Occupation,Client Information,STRING,25,N,maxLength=25
Federal,s1,c1000100010,Date of Birth,Client Information,DATE,,N,
Federal,s1,c1000100011,Blind?,Client Information,NUMBER,,N,
Federal,s1,c1000100012,Date of Birth,Client Information,DATE,,N,
Federal,s1,c1000100013,Blind?,Client Information,NUMBER,,N,
Federal,s1,c1000100014,Street Address,Client Information,STRING,40,N,maxLength=40
Federal,s1,c1000100015,City,Client Information,STRING,22,N,maxLength=22
Federal,s1,c1000100016,State,Client Information,STRING,2,N,maxLength=2
Federal,s1,c1000100017,ZIP Code,Client Information,STRING,10,N,maxLength=10
Federal,s1,c1000100018,Multi-State Return?,Client Information,NUMBER,,N,
Federal,s1,c1000100019,Home Telephone #,Client Information,STRING,14,N,
Federal,s1,c1000100021,Apartment Number,Client Information,STRING,10,N,maxLength=10
Federal,s1,c1000100024,Year Spouse Died (YYYY),Client Information,STRING,4,N,maxLength=4
Federal,s1,c1000100026,Live With Spouse?,Client Information,NUMBER,,N,formattedNumber; min=0; max=1
Federal,s1,c1000100027,Must Itemize?,Client Information,NUMBER,,N,
Federal,s1,c1000100028,Work Telephone #,Client Information,STRING,14,N,
Federal,s1,c1000100029,Salutation [Override],Client Information,STRING,40,N,maxLength=40
Federal,s1,c1000100030,Resident State as of 12/31,Client Information,STRING,2,N,maxLength=2
Federal,s1,c1000100031,Daytime Telephone #,Client Information,NUMBER,,N,
Federal,s1,c1000100032,Foreign Address?,Client Information,NUMBER,,N,
Federal,s1,c1000100034,Full Year Resident?,Client Information,NUMBER,,N,
Federal,s1,c1000100035,MFJ vs MFS Comparison,Client Information,NUMBER,,N,
Federal,s1,c1000100036,Filing Status,Client Information,NUMBER,,N,
Federal,s1,c1000100038,Title / Suffix,Client Information,STRING,5,N,maxLength=5
Federal,s1,c1000100039,Title / Suffix,Client Information,STRING,5,N,maxLength=5
Federal,s1,c1000100044,Work Extension,Client Information,STRING,5,N,maxLength=5
Federal,s1,c1000100057,E-Mail Address,Client Information,STRING,40,N,maxLength=40
Federal,s1,c1000100058,Daytime Telephone #,Client Information,NUMBER,,N,formattedNumber; min=0; max=9
Federal,s1,c1000100059,Prepared by,Client Information,NUMBER,,N,formattedNumber; min=0; max=9
Federal,s1,c1000100060,Region,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1000100061,Postal Code,Client Information,STRING,15,N,maxLength=15
Federal,s1,c1000100062,Country,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1000100067,Mobile Phone,Client Information,STRING,14,N,
Federal,s1,c1000100069,Mobile Phone,Client Information,STRING,14,N,
Federal,s1,c1000100071,In Care of,Client Information,STRING,40,N,maxLength=40
Federal,s1,c1000100072,Home Telephone #,Client Information,STRING,14,N,
Federal,s1,c1000100073,Work Telephone #,Client Information,STRING,14,N,
Federal,s1,c1000100074,Work Extension,Client Information,STRING,5,N,maxLength=5
Federal,s1,c1000100076,E-Mail Address,Client Information,STRING,40,N,maxLength=40
Federal,s1,c1000100077,Date of Death,Client Information,DATE,,N,
Federal,s1,c1000100078,Date of Death,Client Information,DATE,,N,
Federal,s1,c1000100079,"Designee, if different",Client Information,STRING,50,N,maxLength=50
Federal,s1,c1000100087,Dependency Status,Client Information,NUMBER,,N,
Federal,s1,c1010300007,RDP Filing Status,Client Information,NUMBER,,N,
Federal,s1,c1010300018,PMB # in Address?,Client Information,NUMBER,,N,
Federal,s1,c1020300007,Taxpayer Disabled?,Client Information,NUMBER,,N,
Federal,s1,c1020300008,Spouse Disabled?,Client Information,NUMBER,,N,
Federal,s1,c1040300001,County Name,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1050300003,School District Name,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1050300004,School District #,Client Information,STRING,16,N,maxLength=16
Federal,s1,c1060300001,County,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1060300004,School District #,Client Information,STRING,16,N,maxLength=16
Federal,s1,c1070300001,County,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1080300001,County/Municipality Code,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1090300001,County,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1090300003,School District Name,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1090300004,School District #,Client Information,STRING,16,N,maxLength=16
Federal,s1,c1090300006,Number of Days Spent in NYC,Client Information,STRING,11,N,maxLength=11
Federal,s1,c1090300007,Maintained living quarters in NYC,Client Information,NUMBER,,N,
Federal,s1,c1090300016,NYC/Yonkers Resident,Client Information,NUMBER,,N,
Federal,s1,c1120300001,County,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1120300004,Public Sch. Dist. #,Client Information,STRING,16,N,maxLength=16
Federal,s1,c1120300013,Taxpayer Retired?,Client Information,NUMBER,,N,
Federal,s1,c1130300001,County Name,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1140300004,School District Code,Client Information,STRING,16,N,maxLength=16
Federal,s1,c1170300001,County,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1170300010,Locality Code Number,Client Information,STRING,3,N,maxLength=3
Federal,s1,c1220300001,County Name,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1230300001,County,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1230300003,City,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1230300004,School District #,Client Information,STRING,16,N,maxLength=16
Federal,s1,c1230300005,Township,Client Information,STRING,22,N,maxLength=22
Federal,s1,c1230300019,Village,Client Information,STRING,14,N,maxLength=14
Federal,s1,c1240300001,County Name,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1270300005,"County: City, Town, Taxing Area",Client Information,STRING,22,N,maxLength=22
Federal,s1,c1280300001,County Name,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1280300004,School District #,Client Information,STRING,16,N,maxLength=16
Federal,s1,c1290300001,County,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1300300001,County Code,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1310300007,Taxpayer Disabled?,Client Information,NUMBER,,N,
Federal,s1,c1310300008,Spouse Disabled?,Client Information,NUMBER,,N,
Federal,s1,c1330300001,County Code Number,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1340300001,County Number,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1340300004,School District #,Client Information,STRING,16,N,maxLength=16
Federal,s1,c1350300007,Taxpayer Deaf?,Client Information,NUMBER,,N,
Federal,s1,c1350300008,Spouse Deaf?,Client Information,NUMBER,,N,
Federal,s1,c1360300004,School District #,Client Information,STRING,16,N,maxLength=16
Federal,s1,c1370300001,County Name,Client Information,STRING,20,N,maxLength=20
Federal,s1,c1370300004,School ID Number,Client Information,STRING,16,N,maxLength=16
Federal,s1,c1410300004,School District Code,Client Information,STRING,16,N,maxLength=16
Federal,s1,c1410300010,Income Source Code,Client Information,STRING,3,N,maxLength=3
Federal,s1,c1420300007,Taxpayer Deaf or Disabled?,Client Information,NUMBER,,N,
Federal,s1,c1420300011,Taxpayer Food/Excise and Low Income Household Credit Qualification,Client Information,NUMBER,,N,
Federal,s1,c1420300012,Spouse Food/Excise and Low Income Household Credit Qualification,Client Information,NUMBER,,N,
Federal,s1,c1420300018,Spouse Deaf or Disabled?,Client Information,NUMBER,,N,
Federal,s1,c1450300007,Taxpayer Disabled?,Client Information,NUMBER,,N,
Federal,s1,c1450300008,Spouse Disabled?,Client Information,NUMBER,,N,
Federal,s1,c1490300005,City of Legal Residence,Client Information,STRING,22,N,maxLength=22
Federal,s1,c1500300001,County,Client Information,STRING,20,N,maxLength=20
Federal,s2,c201,Date of Adoption,Dependents,DATE,,N,
Federal,s2,c202,Not a US Citizen or Qualified Alien,Dependents,NUMBER,,N,formattedNumber; min=0; max=1
Federal,s2,c203,Had IRS Theft Protection PIN in Prior Year,Dependents,NUMBER,,N,formattedNumber; min=0; max=1
Federal,s2,c204,Age 18 and full-time student,Dependents,NUMBER,,N,formattedNumber; min=0; max=1
Federal,s2,c1000200002,Date of Birth,Dependents,DATE,,N,
Federal,s2,c1000200003,General Information,Dependents,SSN,9,N,
Federal,s2,c1000200004,Relationship,Dependents,STRING,13,N,maxLength=13
Federal,s2,c1000200005,Months Lived at Home,Dependents,STRING,2,N,maxLength=2
Federal,s2,c1000200006,Type,Dependents,NUMBER,,N,
Federal,s2,c1000200007,Earned Income Credit,Dependents,NUMBER,,N,
Federal,s2,c1000200008,First Name,Dependents,STRING,20,N,maxLength=20
Federal,s2,c1000200009,Last Name,Dependents,STRING,20,N,maxLength=20
Federal,s2,c1000200010,Title / Suffix,Dependents,STRING,5,N,maxLength=5
Federal,s2,c1000200013,Dependent Claimed By,Dependents,NUMBER,,N,
Federal,s2,c1000200014,Child Tax Credit,Dependents,NUMBER,,N,
Federal,s2,c1000200015,Dependent Not Claimed Each Year,Dependents,NUMBER,,N,
Federal,s2,c1000200016,Dependent Claim,Dependents,NUMBER,,N,
Federal,s2,c1000200017,Date of Death,Dependents,DATE,,N,
Federal,s2,c1000200023,IRS Theft Protection PIN,Dependents,STRING,6,N,maxLength=6
Federal,s2,c1010400014,"Street address, if different",Dependents,STRING,32,N,maxLength=32
Federal,s2,c1010400015,"City, if different",Dependents,STRING,16,N,maxLength=16
Federal,s2,c1010400016,"State, if different",Dependents,STRING,2,N,maxLength=2
Federal,s2,c1010400017,"Zip code, if different",Dependents,STRING,10,N,maxLength=10
Federal,s2,c1010400023,"Days lived at home, if not full year",Dependents,STRING,20,N,maxLength=20
Federal,s2,c1020400003,Disabled?,Dependents,NUMBER,,N,
Federal,s2,c1030400003,Qualifies for deduction for certain adoptions,Dependents,NUMBER,,N,
Federal,s2,c1040400003,Disabled?,Dependents,NUMBER,,N,
Federal,s2,c1040400005,Student?,Dependents,NUMBER,,N,
Federal,s2,c1040400006,Yearly Income,Dependents,STRING,,N,
Federal,s2,c1040400014,OK ONLY Dependent: Reason not claimed on federal return,Dependents,STRING,32,N,maxLength=32
Federal,s2,c1050400006,State Taxable Income,Dependents,STRING,,N,
Federal,s2,c1060400006,1 = Income Included on K-40H,Dependents,STRING,,N,
Federal,s2,c1080400002,Dependent child who has health care coverage,Dependents,NUMBER,,N,
Federal,s2,c1080400003,Dependent attending college,Dependents,NUMBER,,N,
Federal,s2,c1090400002,Claim as an additional dependent on NY return,Dependents,NUMBER,,N,
Federal,s2,c1100400005,Qualified Parent/Grandparent,Dependents,NUMBER,,N,
Federal,s2,c1100400008,Arizona Only Dependent,Dependents,NUMBER,,N,
Federal,s2,c1110400002,Non-related Foster Child,Dependents,NUMBER,,N,
Federal,s2,c1110400003,Adoptive Parent,Dependents,NUMBER,,N,
Federal,s2,c1110400004,Qualify for Add'l Exemption?,Dependents,NUMBER,,N,
Federal,s2,c1110400005,First time child is being claimed,Dependents,NUMBER,,N,
Federal,s2,c1110400009,Born or died in the tax year,Dependents,NUMBER,,N,
Federal,s2,c1140400003,Added for Schedule AMD,Dependents,NUMBER,,N,
Federal,s2,c1140400004,Support Greater Than Half,Dependents,NUMBER,,N,
Federal,s2,c1140400005,Filed Federal Return,Dependents,NUMBER,,N,
Federal,s2,c1140400014,Gender,Dependents,STRING,32,N,maxLength=32
Federal,s2,c1140400015,Race,Dependents,STRING,16,N,maxLength=16
Federal,s2,c1140400023,Ethnicity,Dependents,STRING,20,N,maxLength=20
Federal,s2,c1170400002,Qualified Foster Child,Dependents,NUMBER,,N,
Federal,s2,c1170400004,Received Support?,Dependents,NUMBER,,N,
Federal,s2,c1170400006,Virginia AGI,Dependents,STRING,,N,
Federal,s2,c1190400005,Disabled?,Dependents,NUMBER,,N,
Federal,s2,c1200400002,Added for Form 500X,Dependents,NUMBER,,N,
Federal,s2,c1200400003,Qualified Adopted Foster Child,Dependents,NUMBER,,N,
Federal,s2,c1230400006,Farm Income,Dependents,STRING,,N,
Federal,s2,c1270400003,Dependent did NOT have health care coverage on 12/31,Dependents,NUMBER,,N,
Federal,s2,c1350400023,Developmental disability,Dependents,STRING,20,N,maxLength=20
Federal,s2,c1420400002,"Income >= $1,000?",Dependents,NUMBER,,N,
Federal,s2,c1420400004,Food/Excise Cr Qualify?,Dependents,NUMBER,,N,
Federal,s2,c1420400008,Minor supported by DHS,Dependents,NUMBER,,N,
Federal,s11,c1,Spouse W-2,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=0; max=1
Federal,s11,c2,Retirement plan,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c3,"(1) Wages, tips, etc. (Click on button to expand if multi-state)","Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c4,(2) Federal income tax withheld,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c5,(3) Social security wages,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c6,(4) Social security tax withheld,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c7,(5) Medicare wages and tips,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c8,(6) Medicare tax withheld,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c9,(7) Social security tips,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c10,(8) Allocated tips,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c12,(10) Dependent care benefits,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c13,"(16) State wages, if different","Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c14,(17) State income tax withheld,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c15,State disability insurance withheld {},"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999; src:ENUM; source:maxLength=1
Federal,s11,c16,State UI/WF/SWF withheld {NJ},"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999; src:STRING; source:maxLength=1
Federal,s11,c17,"(18) Local wages, if different","Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c18,(19) Local income tax withheld,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c19,City of Yonkers income tax withheld,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999; src:STRING; source:maxLength=1
Federal,s11,c20,Statutory employee,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c21,"Schedule C name or number, if statutory employee","Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999
Federal,s11,c24,Tips less than $20 in a month which were not required to be reported,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c25,"Employer is a federal, state, or local government and tips are only subject to Medicare tax","Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=0; max=1
Federal,s11,c26,More than 2% shareholder in S corporation,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c27,Elected farm or fishing wages,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c28,Non-community property (MFS vs. MFJ),"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c29,12b,"Wages, Salaries, Tips (W-2)",STRING,2,N,maxLength=2
Federal,s11,c30,12b,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c31,12c,"Wages, Salaries, Tips (W-2)",STRING,2,N,maxLength=2
Federal,s11,c32,12c,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c33,New Jersey private disability plan,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c34,Wages subject to Y-203 (1=all),"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=-1; max=999999999; src:STRING; source:maxLength=1
Federal,s11,c35,Taxable retirement contribution,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999; src:STRING; source:maxLength=1
Federal,s11,c36,"Wages allocate to NJ (1=all, nonresident returns only)","Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999; src:STRING; source:maxLength=1
Federal,s11,c37,Michigan nontaxable military income,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c38,Current employer,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c39,12d,"Wages, Salaries, Tips (W-2)",STRING,2,N,maxLength=2
Federal,s11,c40,St. Louis earnings (Form E-1) (1=all),"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999; src:STRING; source:maxLength=1
Federal,s11,c41,Voluntary plan disability insurance withheld {CA},"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999; src:STRING; source:maxLength=1
Federal,s11,c42,12d,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c43,"If ""T"" above, eligible child name or number (8839)","Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=300
Federal,s11,c44,12a,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c46,12a,"Wages, Salaries, Tips (W-2)",STRING,2,N,maxLength=2
Federal,s11,c47,RRTA Tier I withholding,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c48,RRTA Tier II withholding,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c49,"Minister wages: 1=subject to SE tax, 2=not subject to SE tax","Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=2
Federal,s11,c50,Ministers housing allowance (SE only),"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=0; max=999999999; src:STRING; source:maxLength=1
Federal,s11,c52,"If ""P"" above, move name or number (3903)","Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=300
Federal,s11,c53,"If ""L"" above, employee business expense schedule name or number","Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=300
Federal,s11,c54,"If ""L"" above, amount attributable to meals","Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999; src:STRING; source:maxLength=1
Federal,s11,c55,12a,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1900; max=2100
Federal,s11,c56,12b,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1900; max=2100
Federal,s11,c57,12c,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1900; max=2100
Federal,s11,c58,12d,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1900; max=2100
Federal,s11,c59,Elect to include nontaxable combat pay in earned income for EIC,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c60,Elect to include nontaxable combat pay in earned income for 2441 (DCB),"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c61,"If ""L"" above, amount attributable to entertainment {}","Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999; src:ENUM; source:maxLength=1
Federal,s11,c62,Wages earned while incarcerated (carry to Schedule 1),"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=0; max=1
Federal,s11,c68,Foreign address,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c69,Compensation not reported on W-2,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c70,Employee performed services while residing in US,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c71,(11) Nonqualified plans,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c72,Third party sick pay,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c73,Country code if work not performed while residing in US,"Wages, Salaries, Tips (W-2)",STRING,60,N,maxLength=60
Federal,s11,c74,(17) State Income Tax [Override],"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c75,(19) Local Income Tax [Override],"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c77,Other (Click on button to expand),"Wages, Salaries, Tips (W-2)",NUMBER,,N,desc:maxLength=8; src:STRING; source:maxLength=1
Federal,s11,c79,Tips $20 or more in a month which were not reported to employer,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c80,"Value of non-cash tips, such as tickets or passes, not reported","Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c81,Actual amount of allocated tips if different than the amount in box 8,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c82,Tips paid out through a tip-sharing arrangement,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c88,Foreign address,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c89,403(b) participant qualifying for the 15 years of service rule,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c93,"Nonstandard W-2 (altered, typed or handwritten)","Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c94,"(16) State Wages, Tips, etc. [Override]","Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c95,"(18) Local Wages, Tips, etc. [Override]","Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c96,Corrected W-2,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c100,"1=delete this year, 2=delete next year","Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=2
Federal,s11,c102,School district tax withheld,"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999
Federal,s11,c103,Wage difference/tax-exempt cost of living allowance {HI},"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c104,Railroad employee (RRTA),"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=1
Federal,s11,c105,Kansas City earnings (Form RD-109) (1=all),"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999; src:STRING; source:maxLength=1
Federal,s11,c106,Qualified military service deduction pay (1=all),"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999; src:STRING; source:maxLength=1
Federal,s11,c107,National guard and reserve component member's deduction (1=all),"Wages, Salaries, Tips (W-2)",NUMBER,,N,formattedNumber; min=1; max=999999999; src:STRING; source:maxLength=1
Federal,s11,c108,New York City income tax withheld (19),"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c109,Nontaxable retirement contribution,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c110,New York City deduction/deferral,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c111,Other employer deduction/deferral,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c112,Union dues,"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
Federal,s11,c113,KPERS retirement contributions {KS},"Wages, Salaries, Tips (W-2)",NUMBER,,N,src:STRING; source:maxLength=1
